title, director, year
One Crazy Summer, Savage Steve Holland, 1986
The Princess Bride, Rob Reiner, 1987
The Goonies, Richard Donner, 1985
The Breakfast Club, John Hughes, 1985
<<<<<<< HEAD
Monty Python and the Holy Grail, Terry Gilliam, 1975
=======
Monty Python and the Holy Grail, Terry Gilliam, 1975
Willow, Ron Howard, 1988
>>>>>>> 66199ecd3a9983a0e1b9f3325f189e8dbc190f92
